.biz,1829,18.29
.it.com,3029,30.29
.com,1099,10.99
.5G.in,549,5.49
.6G.in,549,5.49
.abogado,2429,24.29
.ac,3029,30.29
.academy,3029,30.29
.accountant,2419,24.19
.accountants,8999,89.99
.actor,3489,34.89
.adult,9029,90.29
.ae,3449,34.49
.ae.org,1829,18.29
.agency,2169,21.69
.ai,8409,84.09
.ai.in,549,5.49
.airforce,3029,30.29
.am.in,549,5.49
.app,1469,14.69
.apartments,4829,48.29
.archi,6059,60.59
.army,2999,29.99
.art,2429,24.29
.asia,1229,12.29
.associates,3129,31.29
.attorney,4829,48.29
.auction,2789,27.89
.audio,12029,120.29
.auto,240029,2400.29
.autos,1229,12.29
.baby,5779,57.79
.band,2409,24.09
.bank,81029,810.29
.bar,6029,60.29
.bargains,2769,27.69
.beauty,1229,12.29
.beer,2699,26.99
.best,1829,18.29
.bet,2049,20.49
.bh,4799,47.99
.bible,4709,47.09
.bid,619,6.19
.bihar.in,549,5.49
.bike,3009,30.09
.bingo,4569,45.69
.bio,6059,60.59
.biz.bh,4799,47.99
.biz.in,549,5.49
.black,4909,49.09
.blackfriday,12029,120.29
.blog,2429,24.29
.blue,1809,18.09
.boats,1229,12.29
.bond,989,9.89
.boo,999,9.99
.boston,1229,12.29
.boutique,2789,27.89
.br.com,3989,39.89
.broker,2649,26.49
.build,3029,30.29
.builders,3029,30.29
.business,1109,11.09
.business.in,549,5.49
.buzz,3029,30.29
.ca.in,549,5.49
.cab,2609,26.09
.cafe,3369,33.69
.cam,1709,17.09
.camera,4829,48.29
.camp,4589,45.89
.capital,5529,55.29
.car,240029,2400.29
.cards,3009,30.09
.care,3249,32.49
.careers,5529,55.29
.cars,240029,2400.29
.casa,799,7.99
.case,239900,2399
.cash,2789,27.89
.casino,13209,132.09
.catering,3009,30.09
.cc,999,9.99
.cc.bh,4799,47.99
.center,2049,20.49
.ceo,8429,84.29
.cfd,869,8.69
.charity,2609,26.09
.chat,3009,30.09
.cheap,2769,27.69
.christmas,3629,36.29
.church,3369,33.69
.city,2049,20.49
.claims,5529,55.29
.cleaning,5049,50.49
.click,1109,11.09
.clinic,5049,50.49
.clothing,2789,27.89
.cloud,1999,19.99
.club,1499,14.99
.cn.com,3629,36.29
.cn.in,549,5.49
.co,2909,29.09
.co.com,2429,24.29
.co.in,549,5.49
.co.nl,699,6.99
.co.no,2049,20.49
.coach,5049,50.49
.codes,5049,50.49
.coffee,3009,30.09
.college,5199,51.99
.com.bh,4799,47.99
.com.de,519,5.19
.com.in,549,5.49
.com.ph,4829,48.29
.com.se,969,9.69
.community,3009,30.09
.company,1209,12.09
.compare,2699,26.99
.computer,3009,30.09
.condos,4569,45.69
.contact,1109,11.09
.construction,3009,30.09
.consulting,3609,36.09
.contractors,2789,27.89
.cooking,2699,26.99
.cool,3009,30.09
.coop,7709,77.09
.coop.in,549,5.49
.country,239900,2399
.coupons,4399,43.99
.courses,3029,30.29
.credit,9009,90.09
.creditcard,15029,150.29
.cricket,2419,24.19
.cruises,4589,45.89
.cs.in,549,5.49
.cyou,989,9.89
.dance,2169,21.69
.date,619,6.19
.dating,5049,50.49
.day,999,9.99
.de.com,1729,17.29
.dealer,240029,2400.29
.deals,3029,30.29
.degree,3869,38.69
.delhi.in,549,5.49
.delivery,4399,43.99
.democrat,2789,27.89
.dental,5409,54.09
.dentist,4829,48.29
.desi,1469,14.69
.design,4849,48.49
.dev,1449,14.49
.diamonds,4589,45.89
.diet,12029,120.29
.digital,3249,32.49
.direct,3009,30.09
.directory,2049,20.49
.discount,2609,26.09
.DIY,3629,36.29
.doctor,9609,96.09
.dog,4929,49.29
.domains,3389,33.89
.download,619,6.19
.dr.in,549,5.49
.edu.bh,4799,47.99
.earth,1829,18.29
.education,2609,26.09
.email,2289,22.89
.energy,8999,89.99
.engineer,3029,30.29
.engineering,5049,50.49
.enterprises,3009,30.09
.equipment,1949,19.49
.er.in,549,5.49
.estate,3009,30.09
.eu.com,1729,17.29
.events,3009,30.09
.exchange,3009,30.09
.expert,5049,50.49
.exposed,1709,17.09
.express,3009,30.09
.fail,3009,30.09
.faith,1219,12.19
.family,2789,27.89
.fan,4209,42.09
.fans,989,9.89
.farm,3009,30.09
.fashion,2699,26.99
.feedback,36029,360.29
.finance,4929,49.29
.financial,4399,43.99
.firm.in,549,5.49
.fish,3369,33.69
.fishing,2699,26.99
.fit,2699,26.99
.fitness,3009,30.09
.flights,4569,45.69
.florist,2789,27.89
.flowers,12029,120.29
.fm,10229,102.29
.fo,5759,57.59
.food,3629,36.29
.football,2069,20.69
.forex,3479,34.79
.forsale,2789,27.89
.forum,3629,36.29
.foundation,2609,26.09
.frl,3439,34.39
.fun,3029,30.29
.fund,5049,50.49
.furniture,9629,96.29
.futbol,1109,11.09
.fyi,1829,18.29
.gallery,2069,20.69
.game,34529,345.29
.games,2409,24.09
.garden,2699,26.99
.gay,3029,30.29
.gb.net,839,8.39
.gd,3029,30.29
.gen.in,549,5.49
.gift,1629,16.29
.gifts,2789,27.89
.gives,2609,26.09
.gl,3559,35.59
.glass,4949,49.49
.global,6969,69.69
.gmbh,3009,30.09
.gold,9009,90.09
.golf,5049,50.49
.gr.com,1459,14.59
.graphics,2069,20.69
.gratis,1709,17.09
.green,6059,60.59
.gripe,2609,26.09
.group,1709,17.09
.guide,3029,30.29
.guitars,12029,120.29
.gujarat.in,549,5.49
.guru,3249,32.49
.hair,1229,12.29
.haus,2609,26.09
.health,6029,60.29
.healthcare,5549,55.49
.help,2669,26.69
.hiphop,2429,24.29
.hiv,21509,215.09
.hockey,4589,45.89
.holdings,5069,50.69
.holiday,4949,49.49
.homes,1229,12.29
.horse,2699,26.99
.hospital,4949,49.49
.host,7499,74.99
.hosting,36029,360.29
.house,3369,33.69
.hu.net,3169,31.69
.icu,989,9.89
.immo,2609,26.09
.immobilien,2609,26.09
.in,729,7.29
.in.net,749,7.49
.inc,240029,2400.29
.ind.in,549,5.49
.industries,3389,33.89
.info,2129,21.29
.info.bh,4799,47.99
.info.in,549,5.49
.ink,2309,23.09
.institute,2169,21.69
.insurance,81029,810.29
.insure,4949,49.49
.int.in,549,5.49
.international,2409,24.09
.internet.in,549,5.49
.investments,9609,96.09
.io,4709,47.09
.io.in,549,5.49
.irish,1689,16.89
.jetzt,1709,17.09
.jewelry,5069,50.69
.jp.net,869,8.69
.jpn.com,3629,36.29
.juegos,36029,360.29
.kaufen,2789,27.89
.KIDS,2189,21.89
.kim,1809,18.09
.kitchen,4929,49.29
.land,3009,30.09
.lat,2409,24.09
.law,9029,90.29
.lawyer,4829,48.29
.lease,4589,45.89
.legal,5429,54.29
.lgbt,5169,51.69
.life,2889,28.89
.lifestyle,3629,36.29
.lighting,2069,20.69
.limited,2789,27.89
.limo,4589,45.89
.link,869,8.69
.live,2529,25.29
.living,3629,36.29
.llc,3029,30.29
.loan,619,6.19
.loans,8999,89.99
.lol,2429,24.29
.london,3269,32.69
.lotto,162029,1620.29
.love,2429,24.29
.ltd,2289,22.89
.luxe,1469,14.69
.luxury,3029,30.29
.maison,4589,45.89
.makeup,1229,12.29
.management,1949,19.49
.market,3389,33.89
.marketing,3369,33.69
.markets,1329,13.29
.mba,3009,30.09
.me,1769,17.69
.me.bh,1619,16.19
.me.in,549,5.49
.med.bh,4909,49.09
.media,3369,33.69
.melbourne,6049,60.49
.memorial,4289,42.89
.men,619,6.19
.mex.com,1229,12.29
.miami,2499,24.99
.mobi,2669,26.69
.moda,2609,26.09
.moe,1469,14.69
.mom,3029,30.29
.money,3009,30.09
.monster,1229,12.29
.mortgage,4829,48.29
.motorcycles,1229,12.29
.movie,24749,247.49
.name,819,8.19
.name.bh,1619,16.19
.navy,2609,26.09
.net,1359,13.59
.net.bh,4799,47.99
.net.in,549,5.49
.net.ph,4829,48.29
.network,2589,25.89
.new,49900,499
.news,2529,25.29
.ninja,2529,25.29
.observer,1109,11.09
.one,1589,15.89
.online,3029,30.29
.ooo,2409,24.09
.org,1269,12.69
.org.bh,4799,47.99
.org.in,549,5.49
.org.ph,4829,48.29
.organic,6349,63.49
.osaka,3029,30.29
.page,999,9.99
.paris,3869,38.69
.partners,5529,55.29
.parts,3009,30.09
.party,619,6.19
.pet,1929,19.29
.pg.in,549,5.49
.ph,4829,48.29
.photo,2429,24.29
.photography,2769,27.69
.photos,2049,20.49
.pics,2429,24.29
.pictures,1109,11.09
.pink,1809,18.09
.pizza,5049,50.49
.place,1709,17.09
.plumbing,4589,45.89
.plus,3009,30.09
.poker,4909,49.09
.porn,9029,90.29
.post.in,549,5.49
.press,5659,56.59
.pro.in,549,5.49
.productions,3009,30.09
.promo,1929,19.29
.property,12029,120.29
.properties,3009,30.09
.protection,240029,2400.29
.pub,3029,30.29
.pw,1829,18.29
.qpon,2419,24.19
.quest,1229,12.29
.racing,1219,12.19
.radio.am,1469,14.69
.radio.fm,1469,14.69
.realty,3629,36.29
.recipes,5049,50.49
.red,1809,18.09
.rehab,3029,30.29
.reise,7949,79.49
.reisen,1709,17.09
.reit,120029,1200.29
.rent,5199,51.99
.rentals,3009,30.09
.repair,2789,27.89
.report,1929,19.29
.republican,3029,30.29
.rest,3029,30.29
.restaurant,4929,49.29
.review,1219,12.19
.reviews,4829,48.29
.rip,1829,18.29
.rocks,1569,15.69
.rodeo,899,8.99
.rsvp,999,9.99
.ru.com,7109,71.09
.run,2049,20.49
.sa.com,17909,179.09
.saarland,2069,20.69
.sale,3009,30.09
.salon,4929,49.29
.sarl,2609,26.09
.sbs,749,7.49
.school,3029,30.29
.schule,1949,19.49
.science,1219,12.19
.se.net,3169,31.69
.security,240029,2400.29
.select,2699,26.99
.services,3009,30.09
.sex,9029,90.29
.sexy,299999,2999.99
.sh,3629,36.29
.shabaka,1249,12.49
.shoes,4929,49.29
.shopping,2789,27.89
.show,3369,33.69
.singles,2769,27.69
.site,3029,30.29
.ski,4929,49.29
.skin,1229,12.29
.soccer,1949,19.49
.social,3009,30.09
.software,3009,30.09
.solar,4629,46.29
.solutions,2409,24.09
.space,2429,24.29
.storage,59999,599.99
.store,4629,46.29
.stream,619,6.19
.studio,2889,28.89
.study,3049,30.49
.style,3009,30.09
.sucks,23899,238.99
.supplies,1949,19.49
.supply,1949,19.49
.support,2169,21.69
.surf,2699,26.99
.surgery,4289,42.89
.sydney,6029,60.29
.systems,2529,25.29
.tattoo,3629,36.29
.tax,5529,55.29
.taxi,5049,50.49
.team,2789,27.89
.tech,4829,48.29
.technology,2409,24.09
.tennis,5189,51.89
.theater,4949,49.49
.theatre,60029,600.29
.tickets,42029,420.29
.tienda,4949,49.49
.tips,2529,25.29
.tires,8429,84.29
.today,2169,21.69
.tools,2789,27.89
.tours,4929,49.29
.town,2789,27.89
.toys,4929,49.29
.trade,619,6.19
.trading,1589,15.89
.training,3009,30.09
.travel,11409,114.09
.travel.in,549,5.49
.tv,2699,26.99
.tv.in,549,5.49
.uk.com,2669,26.69
.uk.in,549,5.49
.uk.net,2669,26.69
.university,4849,48.49
.uno,1829,18.29
.up.in,549,5.49
.us,809,8.09
.us.com,1829,18.29
.us.in,549,5.49
.us.org,1829,18.29
.vacations,3029,30.29
.vana,239900,2399
.vegas,4619,46.19
.ventures,4399,43.99
.vet,3269,32.69
.vg,3029,30.29
.viajes,4229,42.29
.video,3029,30.29
.villas,4289,42.89
.vin,4929,49.29
.vip,1499,14.99
.vision,3029,30.29
.vodka,2699,26.99
.vote,7209,72.09
.voyage,4589,45.89
.vu,6029,60.29
.watch,3369,33.69
.webcam,1219,12.19
.website,2429,24.29
.wedding,2699,26.99
.wiki,2209,22.09
.win,619,6.19
.wine,4399,43.99
.work,899,8.99
.works,3009,30.09
.world,3009,30.09
.ws,2429,24.29
.wtf,2789,27.89
.xxx,9029,90.29
.yachts,1229,12.29
.yoga,6029,60.29
.za.com,17909,179.09
.zone,3009,30.09